"varnames_orig","varnames_replace"
"speech_sep30_2w_25km_nomatch","visit_2w_25km_nomatch2"
"speech_sep30_2w_50km_nomatch","visit_2w_50km_nomatch2"
"speech_sep30_4w_5km_nomatch","visit_4w_5km_nomatch2"
"speech_sep30_4w_10km_nomatch","visit_4w_10km_nomatch2"
"speech_sep30_4w_25km_nomatch","visit_4w_25km_nomatch2"
"speech_sep30_4w_50km_nomatch","visit_4w_50km_nomatch2"
"speech_sep30_8w_5km_nomatch","visit_8w_5km_nomatch2"
"speech_sep30_8w_10km_nomatch","visit_8w_10km_nomatch2"
"speech_sep30_8w_25km_nomatch","visit_8w_25km_nomatch2"
"speech_sep30_8w_50km_nomatch","visit_8w_50km_nomatch2"
"speech_sep30_12w_5km_nomatch","visit_12w_5km_nomatch2"
"speech_sep30_12w_10km_nomatch","visit_12w_10km_nomatch2"
"speech_sep30_12w_25km_nomatch","visit_12w_25km_nomatch2"
"speech_sep30_12w_50km_nomatch","visit_12w_50km_nomatch2"
"speech_jul32_2w_5km_nomatch","visit_2w_5km_nomatch3"
"speech_jul32_2w_10km_nomatch","visit_2w_10km_nomatch3"
"speech_jul32_2w_25km_nomatch","visit_2w_25km_nomatch3"
"speech_jul32_2w_50km_nomatch","visit_2w_50km_nomatch3"
"speech_jul32_4w_5km_nomatch","visit_4w_5km_nomatch3"
"speech_jul32_4w_10km_nomatch","visit_4w_10km_nomatch3"
"speech_jul32_4w_25km_nomatch","visit_4w_25km_nomatch3"
"speech_jul32_4w_50km_nomatch","visit_4w_50km_nomatch3"
"speech_jul32_8w_5km_nomatch","visit_8w_5km_nomatch3"
"speech_jul32_8w_10km_nomatch","visit_8w_10km_nomatch3"
"speech_jul32_8w_25km_nomatch","visit_8w_25km_nomatch3"
"speech_jul32_8w_50km_nomatch","visit_8w_50km_nomatch3"
"speech_jul32_12w_5km_nomatch","visit_12w_5km_nomatch3"
"speech_jul32_12w_10km_nomatch","visit_12w_10km_nomatch3"
"speech_jul32_12w_25km_nomatch","visit_12w_25km_nomatch3"
"speech_jul32_12w_50km_nomatch","visit_12w_50km_nomatch3"
"speech_nov32_2w_5km_nomatch","visit_2w_5km_nomatch4"
"speech_nov32_2w_10km_nomatch","visit_2w_10km_nomatch4"
"speech_nov32_2w_25km_nomatch","visit_2w_25km_nomatch4"
"speech_nov32_2w_50km_nomatch","visit_2w_50km_nomatch4"
"speech_nov32_4w_5km_nomatch","visit_4w_5km_nomatch4"
"speech_nov32_4w_10km_nomatch","visit_4w_10km_nomatch4"
"speech_nov32_4w_25km_nomatch","visit_4w_25km_nomatch4"
"speech_nov32_4w_50km_nomatch","visit_4w_50km_nomatch4"
"speech_nov32_8w_5km_nomatch","visit_8w_5km_nomatch4"
"speech_nov32_8w_10km_nomatch","visit_8w_10km_nomatch4"
"speech_nov32_8w_25km_nomatch","visit_8w_25km_nomatch4"
"speech_nov32_8w_50km_nomatch","visit_8w_50km_nomatch4"
"speech_nov32_12w_5km_nomatch","visit_12w_5km_nomatch4"
"speech_nov32_12w_10km_nomatch","visit_12w_10km_nomatch4"
"speech_nov32_12w_25km_nomatch","visit_12w_25km_nomatch4"
"speech_nov32_12w_50km_nomatch","visit_12w_50km_nomatch4"
"speech_mar33_2w_5km_nomatch","visit_2w_5km_nomatch5"
"speech_mar33_2w_10km_nomatch","visit_2w_10km_nomatch5"
"speech_mar33_2w_25km_nomatch","visit_2w_25km_nomatch5"
"speech_mar33_2w_50km_nomatch","visit_2w_50km_nomatch5"
"speech_mar33_4w_5km_nomatch","visit_4w_5km_nomatch5"
"speech_mar33_4w_10km_nomatch","visit_4w_10km_nomatch5"
"speech_mar33_4w_25km_nomatch","visit_4w_25km_nomatch5"
"speech_mar33_4w_50km_nomatch","visit_4w_50km_nomatch5"
"speech_mar33_8w_5km_nomatch","visit_8w_5km_nomatch5"
"speech_mar33_8w_10km_nomatch","visit_8w_10km_nomatch5"
"speech_mar33_8w_25km_nomatch","visit_8w_25km_nomatch5"
"speech_mar33_8w_50km_nomatch","visit_8w_50km_nomatch5"
"speech_mar33_12w_5km_nomatch","visit_12w_5km_nomatch5"
"speech_mar33_12w_10km_nomatch","visit_12w_10km_nomatch5"
"speech_mar33_12w_25km_nomatch","visit_12w_25km_nomatch5"
"speech_mar33_12w_50km_nomatch","visit_12w_50km_nomatch5"
"speech_mar32_2w_5km_nomatch","visit_2w_5km_nomatch6"
"speech_mar32_2w_10km_nomatch","visit_2w_10km_nomatch6"
"speech_mar32_2w_25km_nomatch","visit_2w_25km_nomatch6"
"speech_mar32_2w_50km_nomatch","visit_2w_50km_nomatch6"
"speech_mar32_4w_5km_nomatch","visit_4w_5km_nomatch6"
"speech_mar32_4w_10km_nomatch","visit_4w_10km_nomatch6"
"speech_mar32_4w_25km_nomatch","visit_4w_25km_nomatch6"
"speech_mar32_4w_50km_nomatch","visit_4w_50km_nomatch6"
"speech_mar32_8w_5km_nomatch","visit_8w_5km_nomatch6"
"speech_mar32_8w_10km_nomatch","visit_8w_10km_nomatch6"
"speech_mar32_8w_25km_nomatch","visit_8w_25km_nomatch6"
"speech_mar32_8w_50km_nomatch","visit_8w_50km_nomatch6"
"speech_mar32_12w_5km_nomatch","visit_12w_5km_nomatch6"
"speech_mar32_12w_10km_nomatch","visit_12w_10km_nomatch6"
"speech_mar32_12w_25km_nomatch","visit_12w_25km_nomatch6"
"speech_mar32_12w_50km_nomatch","visit_12w_50km_nomatch6"
"speech_apr32_2w_5km_nomatch","visit_2w_5km_nomatch7"
"speech_apr32_2w_10km_nomatch","visit_2w_10km_nomatch7"
"speech_apr32_2w_25km_nomatch","visit_2w_25km_nomatch7"
"speech_apr32_2w_50km_nomatch","visit_2w_50km_nomatch7"
"speech_apr32_4w_5km_nomatch","visit_4w_5km_nomatch7"
"speech_apr32_4w_10km_nomatch","visit_4w_10km_nomatch7"
"speech_apr32_4w_25km_nomatch","visit_4w_25km_nomatch7"
"speech_apr32_4w_50km_nomatch","visit_4w_50km_nomatch7"
"speech_apr32_8w_5km_nomatch","visit_8w_5km_nomatch7"
"speech_apr32_8w_10km_nomatch","visit_8w_10km_nomatch7"
"speech_apr32_8w_25km_nomatch","visit_8w_25km_nomatch7"
"speech_apr32_8w_50km_nomatch","visit_8w_50km_nomatch7"
"speech_apr32_12w_5km_nomatch","visit_12w_5km_nomatch7"
"speech_apr32_12w_10km_nomatch","visit_12w_10km_nomatch7"
"speech_apr32_12w_25km_nomatch","visit_12w_25km_nomatch7"
"speech_apr32_12w_50km_nomatch","visit_12w_50km_nomatch7"
"audience_count_may28_5km","esize_5km1"
"audience_count_may28_10km","esize_10km1"
"audience_count_may28_25km","esize_25km1"
"audience_count_may28_50km","esize_50km1"
"audience_count_sep30_5km","esize_5km2"
"audience_count_sep30_10km","esize_10km2"
"audience_count_sep30_25km","esize_25km2"
"audience_count_sep30_50km","esize_50km2"
"audience_count_jul32_5km","esize_5km3"
"audience_count_jul32_10km","esize_10km3"
"audience_count_jul32_25km","esize_25km3"
"audience_count_jul32_50km","esize_50km3"
"audience_count_nov32_5km","esize_5km4"
"audience_count_nov32_10km","esize_10km4"
"audience_count_nov32_25km","esize_25km4"
"audience_count_nov32_50km","esize_50km4"
"audience_count_mar33_5km","esize_5km5"
"audience_count_mar33_10km","esize_10km5"
"audience_count_mar33_25km","esize_25km5"
"audience_count_mar33_50km","esize_50km5"
"audience_count_mar32_5km","esize_5km6"
"audience_count_mar32_10km","esize_10km6"
"audience_count_mar32_25km","esize_25km6"
"audience_count_mar32_50km","esize_50km6"
"audience_count_apr32_5km","esize_5km7"
"audience_count_apr32_10km","esize_10km7"
"audience_count_apr32_25km","esize_25km7"
"audience_count_apr32_50km","esize_50km7"
"audience_count_may28_2w_5km","esize_2w_5km1"
"audience_count_may28_2w_10km","esize_2w_10km1"
"audience_count_may28_2w_25km","esize_2w_25km1"
"audience_count_may28_2w_50km","esize_2w_50km1"
"audience_count_may28_4w_5km","esize_4w_5km1"
"audience_count_may28_4w_10km","esize_4w_10km1"
"audience_count_may28_4w_25km","esize_4w_25km1"
"audience_count_may28_4w_50km","esize_4w_50km1"
"audience_count_may28_8w_5km","esize_8w_5km1"
"audience_count_may28_8w_10km","esize_8w_10km1"
"audience_count_may28_8w_25km","esize_8w_25km1"
"audience_count_may28_8w_50km","esize_8w_50km1"
"audience_count_may28_12w_5km","esize_12w_5km1"
"audience_count_may28_12w_10km","esize_12w_10km1"
"audience_count_may28_12w_25km","esize_12w_25km1"
"audience_count_may28_12w_50km","esize_12w_50km1"
"audience_count_sep30_2w_5km","esize_2w_5km2"
"audience_count_sep30_2w_10km","esize_2w_10km2"
"audience_count_sep30_2w_25km","esize_2w_25km2"
"audience_count_sep30_2w_50km","esize_2w_50km2"
"audience_count_sep30_4w_5km","esize_4w_5km2"
"audience_count_sep30_4w_10km","esize_4w_10km2"
"audience_count_sep30_4w_25km","esize_4w_25km2"
"audience_count_sep30_4w_50km","esize_4w_50km2"
"audience_count_sep30_8w_5km","esize_8w_5km2"
"audience_count_sep30_8w_10km","esize_8w_10km2"
"audience_count_sep30_8w_25km","esize_8w_25km2"
"audience_count_sep30_8w_50km","esize_8w_50km2"
"audience_count_sep30_12w_5km","esize_12w_5km2"
"audience_count_sep30_12w_10km","esize_12w_10km2"
"audience_count_sep30_12w_25km","esize_12w_25km2"
"audience_count_sep30_12w_50km","esize_12w_50km2"
"audience_count_jul32_2w_5km","esize_2w_5km3"
"audience_count_jul32_2w_10km","esize_2w_10km3"
"audience_count_jul32_2w_25km","esize_2w_25km3"
"audience_count_jul32_2w_50km","esize_2w_50km3"
"audience_count_jul32_4w_5km","esize_4w_5km3"
"audience_count_jul32_4w_10km","esize_4w_10km3"
"audience_count_jul32_4w_25km","esize_4w_25km3"
"audience_count_jul32_4w_50km","esize_4w_50km3"
"audience_count_jul32_8w_5km","esize_8w_5km3"
"audience_count_jul32_8w_10km","esize_8w_10km3"
"audience_count_jul32_8w_25km","esize_8w_25km3"
"audience_count_jul32_8w_50km","esize_8w_50km3"
